,Rank,Name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,Description,Related_anime,Voice_actors
1178,1179,To Love Ru: Darkness,TV   ,12.0,XEBEC,Fall ,"Comedy, Ecchi, Harem, Romance, Sci Fi, Shounen, Slice of Life, Aliens, Cohabitation, Interspecies Relationship, Love Triangle, Non-Human Protagonists, Panty Shots, Royalty, School Life, Based on a Manga, Nudity,, Sexual Content",3.93,2012.0,"'Rito Yuuki has more women in his life than he knows what to do with. In case it wasn’t enough to have all three Devilukean princesses under one roof, he now has alien girls from all over the galaxy attending his school, too! But when the arrival of a mysterious red-haired girl threatens one of their own, Rito and the girls must stand up to a powerful adversary- the likes of which they’ve never seen before.'","To Love Ru, To Love Ru OVA, Motto To Love Ru, To Love Ru: Darkness OVA, To Love Ru: Darkness 2nd, To Love Ru: Darkness 2nd Specials, To Love Ru: Darkness 2nd OVA, To Love Ru: Multiplication - Mae kara Ushiro kara","Mea Kurosaki : Yuka Iguchi, Momo Belia Deviluke : Aki Toyosaki, Rito Yuuki : Akeno Watanabe, Yami : Misato Fukuen, Celine : Ryouka Yuzuki, Haruna Sairenji : Sayuri Yahagi, Lala Satalin Deviluke : Haruka Tomatsu, Mikan Yuuki : Kana Hanazawa, Saki Hasemi
Original Creator, Atsushi Ootsuki
Director, Yuuichi Oka
Character Design, Takatoshi Chino
Producer, Nobuhiro Nakayama
Producer, Gou Tanaka
Producer, Kentarou Hattori
Producer, Kazumasa Sanjouba
Producer"
1182,1183,Yuru Yuri Nachu Yachumi!+,TV Sp,,TYO Animations,,"Comedy, Seinen, Slice of Life, Based on a Manga",3.93,2015.0,'Yuruyuri Nachu Yachumi!+ will air an episode in August and another in September with new opening and ending theme songs.',"Yuru Yuri, Yuru Yuri: Doushite, Tomaranai, Tokimeki, Doki Doki, Paradox, Eternal, Yuru Yuri ♪♪, Yuru Yuri Nachu Yachumi!, Yuru Yuri San☆Hai!, Yuru Yuri,","Akari Akaza : Shiori Mikami, Chinatsu Yoshikawa : Rumi Ookubo, Kyouko Toshinou : Yuka Ootsubo, Yui Funami : Minami Tsuda, Ayano Sugiura : Saki Fujita, Chitose Ikeda : Aki Toyosaki, Himawari Furutani : Suzuko Mimori, Sakurako Ohmuro : Emiri Katou, Namori
Original Creator, Hiroyuki Hata
Director, Motohiro Taniguchi
Character Design, Yoshikazu Iwanami
Sound Director, Mika Shimizu
Producer, Satoshi Fukao
Producer, Masakatsu Oomuro
Producer, Ryousuke Tsuboi
Producer"
1186,1187,Rilakkuma and Kaoru,Web  ,13.0,Dwarf,Spring,"Slice of Life, Animal Protagonists, Anthropomorphic, Bears, Family Friendly, Non-Human Protagonists, San-X Characters, Short Episodes, Stop Motion Animation",3.93,2019.0,"'Rilakkuma suddenly appears in the apartment of office worker Kaoru and begins living there, spending every day idling around. He has a zipper on his back, but the contents remain unknown. He likes food like pancakes, omelette rice, pudding, and dango. He lives together with the little white cub Korilakkuma and Kaoru\'s pet Kiiroitori (""yellow bird"").'",Rilakkuma's Theme Park Adventure,"Kaoru : Mikako Tabe, Kiiroitori, Korilakkuma, Rilakkuma, Mr. Kato : Shigeru Sugimoto, Sayu : Mai Kanazawa, Tokio : Souki Matsumoto, Alien, Masahito Kobayashi
Director"
1192,1193,She and Her Cat: Everything Flows,TV   ,,LIDEN FILMS Kyoto Studio,Winter,"Drama, Slice of Life, Animal Protagonists, Cats, Family Friendly, Loneliness, Melancholy, Non-Human Protagonists, Pets, Short Episodes, Original Work",3.93,2016.0,"'The anime will portray the life of the girl, a junior college student job hunting while living alone with her pet black cat.'",She and Her Cat,"Daru : Shintarou Asanuma, Miyu : Kana Hanazawa, Mother : Akiko Hiramatsu, Tomoka : Sayuri Yahagi, Makoto Shinkai
Original Creator, Kazuya Sakamoto
Director, To-Mas
Music, Senbon Umishima
Character Design, Tetsurou Satomi
Producer, Terushige Yoshie
Producer, Shigeaki Miyata
Producer, Masumi Itou
Song Arrangement & Song Composition"
1197,1198,Aggretsuko (2016),TV   ,100.0,Fanworks,Spring,"Comedy, Slice of Life, Animal Protagonists, Anthropomorphic, Coworkers, Non-Human Protagonists, Sanrio Characters, Short Episodes, Work Life, Original Work",3.93,2016.0,"""Retsuko is a 25-year old red panda who works in her dream company's accounting department. But it turns out that she is forced to keep doing more and more impossible tasks by her superiors and co-workers. She doesn't talk back to them, but she still has to let off steam, so she ends up going to karaoke by herself and singing death metal.""","Aggretsuko, Aggretsuko: We Wish You a Metal Christmas","Retsuko : Rareko, Fenneko : Rina Inoue, Gori : Maki Tsuruta, Kabae : Yuki Takahashi, Komiya : Sota Arai, Terada, Ton : Sota Arai, Tsubone : Maki Tsuruta, Rareko
Director & Character Design"
1198,1199,Haibane Renmei,TV   ,13.0,Radix Ace Entertainment,Fall ,"Drama, Fantasy, Slice of Life, Afterlife, Amnesia, Angels, Countryside, Based on a Doujinshi",3.93,2002.0,"'A young woman quietly falls to the earth, escorted by a solitary crow. This sort of dream, as many other before have dreamed, comes just before being reborn as a Haibane, a charcoal-winged angel. On the outskirts of the walled-in city lies Old Home, a haven for Haibane to study, live, and learn, while waiting for their chance to ascend to the heavens and escape the confines of their new world. Rakka is the newest inhabitant of Old Home who wants nothing more\xa0than to remember her past and discover the secrets of her kind. Together with Reki, Kuu and plenty of other new friends, Rakka will laugh, explore, and search for the meaning of their existence in the process.'",,"Rakka : Ryou Hirohashi, Reki : Junko Noda, Hikari : Fumiko Orikasa, Kana : Eri Miyajima, Kuu : Akiko Yajima, Nemu : Kazusa Murai, Communicator : Tamio Ohki, Dai : Kumiko Higa, Yoshitoshi Abe
Original Creator & Screenplay & Series Composition, Tomokazu Tokoro
Director, Kow Otani
Music, Akira Takada
Character Design, Yasuyuki Ueda
Producer, Takeo Haruna
Producer, Hideki Gotou
Producer, Yoshinobu Iwaya
Producer"
1201,1202,One-Punch Man 2 Specials,DVD S,,J.C.Staff,,"Comedy, Seinen, Slice of Life, Overpowered Main Characters, Superheroes, Superpowers, Based on a Manga",3.93,2019.0,'No synopsis yet - check back soon!',One-Punch Man 2,"Saitama : Makoto Furukawa, Atomic Samurai, Bang, One
Original Creator, Chikara Sakurai
Director, Chikashi Kubota
Character Design"
1206,1207,Working!!,TV   ,13.0,A-1 Pictures,Spring,"Comedy, Romance, Seinen, Slice of Life, Androphobia, Coworkers, Restaurants, Work Life, Based on a 4-Koma Manga, Based on a Manga",3.93,2010.0,"""Self-professed lover of all things small and cute, Souta Takanashi finds himself dragooned into working at the Wagnaria family restaurant by the diminutive and vivacious Poplar Taneshima. Though the pay is reasonable and the clientele polite, the high school student is\xa0often at his wits' end when dealing with the quirky staff. If the indifferent and street-tough manager, katana-carrying floor chief, and terminally weak Poplar weren't enough, Souta frequently fears for his life, as every encounter with the violently androphobic Inami ends in injury. How long can he survive before the combined stress and harm do him in?""","Working'!!, Working!!! Lord of the Takanashi, Working!!!, www.Working!!","Hiroomi Souma : Hiroshi Kamiya, Jun Satou : Daisuke Ono, Kyouko Shirafuji : Kumiko Watanabe, Mahiru Inami : Saki Fujita, Poplar Taneshima : Kana Asumi, Souta Takanashi : Jun Fukuyama, Yachiyo Todoroki : Eri Kitamura, Aoi Yamada : Ryou Hirohashi, Karino Takatsu
Original Creator, Yoshimasa Hiraike
Director, Shingo Adachi
Character Design, Tomoyuki Saitou
Producer, Hiroyuki Shimizu
Producer, Shunsuke Saitou
Producer, Hiroaki Tsunoda
Producer, Masato Satou
Episode Director & Key Animator"
1214,1215,Sweetness & Lightning,TV   ,12.0,3xCube,Summer,"Comedy, Drama, Seinen, Slice of Life, Anime no Me, Childcare, Cooking, Death of a Loved One, Family Life, Food and Beverage, Iyashikei, Recipes, Single Parent, Based on a Manga",3.93,2016.0,"""Having lost his wife, math teacher Kouhei Inuzuka is doing his best to raise his young daughter Tsumugi as a single father. He's pretty bad at cooking and doesn't have a huge appetite to begin with, but chance brings his little family and one of his students, Kotori Iida, together for homemade adventures. With those three cooks in the kitchen, it's no wonder this dinner table drama is so delicious.""",,"Kotori Iida : Saori Hayami, Kouhei Inuzuka : Yuuichi Nakamura, Tsumugi Inuzuka : Rina Endou, Shinobu Kojika : Haruka Tomatsu, Yuusuke Yagi : Tomokazu Seki, Butcher : Kouji Fujiyoshi, Chiyo : Aina Suzuki, Hana : Saaya Andou, Gido Amagakure
Original Creator, Tarou Iwasaki
Director, Irone Toda
Music, Hiroki Harada
Character Design, Tomoyuki Shiokawa
Photography Director, Kouji Akio
Producer, Yoshihiko Yamazaki
Producer, Motohiro Oda
Producer"
1215,1216,Hidamari Sketch x 365,TV   ,13.0,SHAFT,Summer,"Comedy, Seinen, Slice of Life, Art, Art School, Boarding House, Iyashikei, Neighbors, School Life, Based on a 4-Koma Manga, Based on a Manga",3.93,2008.0,"""It is still Yuno's first year at Yamabuki High school, and for the girls of the Hidamari apartment complex, life continues as normal. Whether it is visiting a shrine to do some sketching on their day off, or sitting under a kotatsu enjoying nabe on a cold winter's day, Yuno, Miyuko, Sae and Hiro make the most of each other’s company and cherish the time they have together. From the entrance exams and meeting each other, through the seasons, follow the day-to-day lives of these girls as they make each moment count and bring their own brand of fun to the most everyday activities.""","Hidamari Sketch, Hidamari Sketch Specials, Hidamari Sketch: Chou Hidamatsuri Special, Hidamari Sketch x 365 EX, Hidamari Sketch x 365 Specials, Hidamari Sketch x Hoshimittsu, Hidamari Sketch x Hoshimittsu Specials, Hidamari Sketch x SP, Hidamari Sketch x Honeycomb, Hidamari Sketch: Sae & Hiro's Graduation Arc","Hiro : Yuuko Gotou, Miyako : Kaori Mizuhashi, Sae : Ryouko Shintani, Yuno : Kana Asumi, Chika : Rie Kugimiya, Landlady : Miyuki Sawashiro, Principal : Choo, Yoshinoya : Miyu Matsuki, Ume Aoki
Original Creator, Akiyuki Simbo
Director & Storyboard, Tomoki Kikuya
Music, Yoshiaki Itou
Animation Director & Character Design & Chief Animation Director & Key Animator, Shinichirou Etou
Photography Director, Hisaharu Iijima
Art Director, Junichirou Tanaka
Producer, Kozue Kaneniwa
Producer"
1219,1220,The Kawai Complex Guide to Manors and Hostel Behavior,TV   ,12.0,Brain's Base,Spring,"Comedy, Romance, Seinen, Slice of Life, Boarding House, Neighbors, Romantic Comedy, Based on a Manga",3.93,2014.0,"'Thanks to his parents\' job transfer, high school freshman Kazunari Usa finally gets to enjoy living on his own in Kawai Complex, a boarding house that provides meals for its residents. Ritsu, the sempai he always admired, also lives in Kawai Complex, along with a few ""unique"" individuals e.g. his masochistic roommate, Kinosaki; beautiful, big-breasted Mayumi who has no luck in finding men; and sly, predatory college woman Ayaka. Surrounded by all these people, Usa never finds his daily life boring.'","The Kawai Complex Guide to Manors and Hostel Behavior Specials, The Kawai Complex Guide to Manors and Hostel Behavior: First Time","Kazunari Usa : Yuuichi Iguchi, Ritsu Kawai : Kana Hanazawa, Mayumi Nishikino : Rina Satou, Sayaka Watanabe : Hisako Kanemoto, Shirosaki : Gou Shinomiya, Sumiko : Sanae Kobayashi, Tae Shinohara : Yuki Kaida, Chinatsu : Ai Shimizu, Ruri Miyahara
Original Creator, Shigeyuki Miya
Director, Akito Matsuda
Music, Junko Yamanaka
Character Design, Shinichi Kurita
Character Design, Maki Kouno
Character Design, Shinichirou Kajiura
Animation Director"
1227,1228,To Love Ru: Darkness 2nd,TV   ,12.0,XEBEC,Summer,"Comedy, Ecchi, Harem, Romance, Sci Fi, Shounen, Slice of Life, Aliens, Cohabitation, Interspecies Relationship, Love Triangle, Non-Human Protagonists, Panty Shots, Royalty, School Life, Based on a Manga, Nudity,, Sexual Content",3.92,2015.0,"""Rito Yuuki's latest close encounters are starting to resemble a straight out invasion! While intergalactic romance is out of this world, attracting such high voltage vixens is not unlike being a fork stuck into an anti-matter engine to retrieve a plutonium bagel; it definitely messes with your head and heart.\xa0Rito struggles to grasp how he can love more than one girl at once, all while his inability to confess to his human paramour, Haruna, causes Devilukean Princess Momo's Harem Plan to come to a standstill.\xa0On top of that, the transforming assassin, Golden Darkness, is still interested in killing him, but she has her own family issues to deal with. Not to mention, a different darkness lurks among the innocent pandemonium.\xa0Things are just as out of control as always, but danger is on the horizon!""","To Love Ru, To Love Ru OVA, Motto To Love Ru, To Love Ru: Darkness OVA, To Love Ru: Darkness, To Love Ru: Darkness 2nd Specials, To Love Ru: Darkness 2nd OVA, To Love Ru: Multiplication - Mae kara Ushiro kara","Mea Kurosaki : Yuka Iguchi, Momo Belia Deviluke : Aki Toyosaki, Rito Yuuki : Akeno Watanabe, Yami : Misato Fukuen, Celine : Ryouka Yuzuki, Haruna Sairenji : Sayuri Yahagi, Lala Satalin Deviluke : Haruka Tomatsu, Mikan Yuuki : Kana Hanazawa, Saki Hasemi
Original Creator, Atsushi Ootsuki
Director, Takeshi Watanabe
Music, Yuuichi Oka
Character Design, Takatoshi Chino
Producer, Nobuhiro Nakayama
Producer, Gou Tanaka
Producer, Kentarou Hattori
Producer"
1238,1239,Re:ZERO -Starting Life in Another World- Memory Snow,Movie,,WHITE FOX,,"Comedy, Fantasy, Seinen, Slice of Life, Cheats, Isekai, Magic, Person in a Strange World, Time Travel, Based on a Light Novel",3.92,2018.0,"'As Subaru and friends finally get a moment of peace, Subaru goes on a secret mission that he must not let anyone find out about. However, even though he is wearing a disguise, Petra and the other children of the village immediately figure out who he is. Now that his mission was exposed within five seconds of it starting, what will happen to Subaru\'s ""date course"" with Emilia?'","Re:ZERO -Starting Life in Another World-, Re:ZERO -Starting Life in Another World- Memory Snow - Manner Movie, Re:ZERO -Starting Life in Another World- The Frozen Bond, Re:ZERO -Starting Life in Another World- Season 2, Re:ZERO -Starting Life in Another World- Season 2: Part II","Subaru Natsuki : Yusuke Kobayashi, Beatrice : Satomi Arai, Emilia : Rie Takahashi, Puck : Yumi Uchiyama, Ram : Rie Murakawa, Rem : Inori Minase, Roswaal L. Mathers : Takehito Koyasu, Aldebaran, Tappei Nagatsuki
Original Creator, Tatsuya Koyanagi
Chief Director, Masaharu Watanabe
Director, Kenichirou Suehiro
Music, Kyuuta Sakai
Character Design, Yoshikazu Beniya
Producer, Shou Tanaka
Producer, Eriko Aoki
Producer"
1252,1253,WorldEnd: What do you do at the end of the world? Are you busy? Will you save us?,TV   ,12.0,SATELIGHT,Spring,"Drama, Fantasy, Mystery, Romance, Slice of Life, Island, Magic, Military, Post-apocalyptic, Based on a Light Novel",3.92,2017.0,"'The fleeting and sad story about little girls known as fairy weapons and an associate hero that survived. This is a world after it was attacked by unidentified monsters known as beasts and many of the species in the world, including humans, had been destroyed. The species that had managed to survived left the ground and were living on a floating island called Regal Ele. Willem Kumesh, wakes up above the clouds 500 years later and couldn’t protect the ones who he wanted to protect. Actually, he was living in despair because he was the only survivor. He then ends up meeting a group of girls while starting an unexpected weapon management job.'",,"Chtholly Nota Seniorious : Azusa Tadokoro, Willem Kmetsch : Ryohei Arai, Collon Rin Purgatrio : Hina Kino, Ithea Myse Valgulious : Machico, Lakhesh Nyx Seniorious : Manaka Iwami, Nephren Ruq Insania : Akari Uehara, Nopht Keh Desperatio : Inori Minase, Nygglatho : Kikuko Inoue, Junichi Wada
Director, Tatsuya Katou
Music, Tooru Imanishi
Character Design, Tsutomu Yabuki
Episode Director & Storyboard, Kenji Yasuda
Episode Director & Storyboard, Kousuke Yoshida
Chief Animation Director & Chief Assistant Animation Director"
1259,1260,Food Wars! Jump Festa 2016 Special,Other,,J.C.Staff,,"Ecchi, Shounen, Slice of Life, Cooking, Food and Beverage, Based on a Manga",3.92,2016.0,'The students of Engetsu Teahouse Culinary Academy have completed their on-the-job training (stagiaire) and decide to enjoy a break at a onsen inn.',"Food Wars! Shokugeki no Souma, Food Wars! Jump Festa 2015 Special, Food Wars! The Second Plate, Food Wars! Shokugeki no Souma OVA, Food Wars! Toutsuki Juukketsu, Food Wars! The Third Plate, Food Wars! The Fourth Plate","Akira Hayama : Junichi Suwabe, Erina Nakiri : Hisako Kanemoto, Megumi Tadokoro : Minami Takahashi, Ryou Kurokiba : Nobuhiko Okamoto, Satoshi Isshiki : Takahiro Sakurai, Souma Yukihira : Yoshitsugu Matsuoka, Alice Nakiri : Chinatsu Akasaki, Daigo Aoki : Junichi Yanagita, Yuuto Tsukuda
Original Creator, Yoshitomo Yonetani
Director, Tatsuya Katou
Music, Tomoyuki Shitaya
Character Design"
1260,1261,Strawberry Marshmallow OVA,OVA  ,3.0,Daume,,"Comedy, Shounen, Slice of Life, Based on a Manga",3.92,2007.0,"'Chika, Matsuri, Miu, Ana and Noboe are back, and ready for more slow-paced misadventures! All Noboe wants to do is get a job, but the obnoxious and interfering Miu will not have such a thing. Meanwhile, Matsuri is being taught to be a leader with the help of a… horse head?! Ana can no longer hide her Japanese-talking secret, the whole crew mess around with bunny ears and lion costumes, and trips to the library and school abound. It’s just another day in the life of these friends!'","Strawberry Marshmallow Special: Episode 0, Strawberry Marshmallow, Strawberry Marshmallow Encore","Ana Coppola : Mamiko Noto, Chika Ito : Saeko Chiba, Matsuri Sakuragi : Ayako Kawasumi, Miu Matsuoka : Fumiko Orikasa, Nobue Ito : Hitomi Nabatame, Class 5-2'S Homeroom Teacher : Takayuki Kondou, Class 6-2'S Homeroom Teacher, Old Man : Choo, Barasui
Original Creator, Takuya Satou
Director, Takeshi Watanabe
Music, Kyuuta Sakai
Character Design, Yuuichi Sekido
Producer, Kozue Kaneniwa
Producer, Shun Umezawa
Producer, Seiya Numata
Key Animator"
